Time, Tag, Workers, Files, Duration (ms)
2017/09/02 15:45:16, FPinScalaByExample/compile,   2,     3, 	     2268
2017/09/02 15:45:19,   FPinScalaByExample/test,   4,    42, 	     4102
2017/09/02 15:46:24,   FPinScalaByExample/test,   4,    42, 	     2945
2017/09/02 15:47:27,   FPinScalaByExample/test,   4,    42, 	     2911
2017/09/02 15:51:51,   FPinScalaByExample/test,   4,    42, 	     5483
2017/09/02 15:52:10,   FPinScalaByExample/test,   4,    42, 	     5909
2017/09/02 15:52:55,   FPinScalaByExample/test,   4,    42, 	     4412
2017/09/02 15:52:59,    fpinscalabe-guide/test,   4,    38, 	       79
2017/09/02 15:54:45,    fpinscalabe-guide/test,   4,    38, 	     4274
2017/09/02 15:54:50,    fpinscalabe-guide/test,   4,    38, 	     4301
2017/09/02 15:56:51,    fpinscalabe-guide/test,   4,    38, 	     3800
2017/09/02 15:57:30,    fpinscalabe-guide/test,   4,    38, 	     5158
2017/09/02 15:57:48,    fpinscalabe-guide/test,   4,    38, 	     3880
2017/09/02 15:58:23,    fpinscalabe-guide/test,   4,    38, 	     3465
2017/09/02 15:58:54,    fpinscalabe-guide/test,   4,    38, 	     2590
2017/09/02 15:59:18,    fpinscalabe-guide/test,   4,    38, 	     2566
2017/09/02 15:59:43,    fpinscalabe-guide/test,   4,    38, 	     2181
2017/09/02 15:59:51,    fpinscalabe-guide/test,   4,    38, 	     2343
2017/09/02 16:00:04,    fpinscalabe-guide/test,   4,    38, 	     2961
2017/09/02 16:00:57,    fpinscalabe-guide/test,   4,    38, 	     5077
2017/09/02 16:01:24,    fpinscalabe-guide/test,   4,    38, 	     3876
2017/09/02 16:02:01,    fpinscalabe-guide/test,   4,    38, 	     1451
